arquivo,fileId,link,status
a49-mynameisglenn_,1XuYnF4VOdfz6lr0UB01yg-3WSx6R27fA,https://drive.google.com/file/d/1XuYnF4VOdfz6lr0UB01yg-3WSx6R27fA/view?usp=sharing,ok
a50-fala.laly,13595CH7bwd53vxMjUWi0-jkh_Yvg-nGq,https://drive.google.com/file/d/13595CH7bwd53vxMjUWi0-jkh_Yvg-nGq/view?usp=sharing,ok
a51-ericzerlin-iphone-vs-ape,1sU9A1F4EERh4nJOe9K7wkaYUo3Aam5pl,https://drive.google.com/file/d/1sU9A1F4EERh4nJOe9K7wkaYUo3Aam5pl/view?usp=sharing,ok
a52-sibeleimoveis,1sREnRaQSoDRemNBL-9YfC9b8ydmdXhGd,https://drive.google.com/file/d/1sREnRaQSoDRemNBL-9YfC9b8ydmdXhGd/view?usp=sharing,ok
b01-feltnegociosimobiliarios,17DFAVf-KyC3QfHDuZy39KSxR02x5ThRu,https://drive.google.com/file/d/17DFAVf-KyC3QfHDuZy39KSxR02x5ThRu/view?usp=sharing,ok
b03-mrv,156sqviKHszylfnQFyHE1o3jJg9ayFdD4,https://drive.google.com/file/d/156sqviKHszylfnQFyHE1o3jJg9ayFdD4/view?usp=sharing,ok
b04-quintoandar,1dNHq5Ya-yF_R3ScgGd0RlWQdpu47LwPM,https://drive.google.com/file/d/1dNHq5Ya-yF_R3ScgGd0RlWQdpu47LwPM/view?usp=sharing,ok
b05-feltnegociosimobiliarios,1YKo-Aj9SCwJs8ntFe0igMmYgRoWQ7DAW,https://drive.google.com/file/d/1YKo-Aj9SCwJs8ntFe0igMmYgRoWQ7DAW/view?usp=sharing,ok
b06-jardimtaddei-fase1,1yW3WBrBSmlfRcbCCSsytYTAj8u0Dc23u,https://drive.google.com/file/d/1yW3WBrBSmlfRcbCCSsytYTAj8u0Dc23u/view?usp=sharing,ok
b07-quatro,13YzeZppJOhMv3WAsBLM9sNRCcn_Luegi,https://drive.google.com/file/d/13YzeZppJOhMv3WAsBLM9sNRCcn_Luegi/view?usp=sharing,ok
b08-capital,1x8zJ3kK-EMUZEXppcM1sWsCjAnRvxnnV,https://drive.google.com/file/d/1x8zJ3kK-EMUZEXppcM1sWsCjAnRvxnnV/view?usp=sharing,ok
b09-franco,1Z1riOltunW5nJmaAZMvb2v1w5zo1E6yZ,https://drive.google.com/file/d/1Z1riOltunW5nJmaAZMvb2v1w5zo1E6yZ/view?usp=sharing,ok
b10-felipe,1qoGubdvs4ajA1cRSp3t5h11cm_VDotlY,https://drive.google.com/file/d/1qoGubdvs4ajA1cRSp3t5h11cm_VDotlY/view?usp=sharing,ok
b11-layane-antialuguel,1Z1hOK7-0tm4zj2ae0ln2KHyNZjhC35tr,https://drive.google.com/file/d/1Z1hOK7-0tm4zj2ae0ln2KHyNZjhC35tr/view?usp=sharing,ok
b12-ebm,1D3yDJFSOvJQ-yPW-YjlbGdymP7x0gNSd,https://drive.google.com/file/d/1D3yDJFSOvJQ-yPW-YjlbGdymP7x0gNSd/view?usp=sharing,ok
b13-sacisa-meier,1e6C7c4VBGhtYh_4QZGCZb8g-rIMfjR1y,https://drive.google.com/file/d/1e6C7c4VBGhtYh_4QZGCZb8g-rIMfjR1y/view?usp=sharing,ok
b14-luiz,1J981H72tdxBoQQmh_mJVCOpw1GZIY8nT,https://drive.google.com/file/d/1J981H72tdxBoQQmh_mJVCOpw1GZIY8nT/view?usp=sharing,ok
b15-ros,1508OgltXCiQ7LmEgyNaqk78PfVYJeQIw,https://drive.google.com/file/d/1508OgltXCiQ7LmEgyNaqk78PfVYJeQIw/view?usp=sharing,ok
b16-trinus,10hGtCvVeEhk8e-6Oc5uy1JnUEO3JO6h6,https://drive.google.com/file/d/10hGtCvVeEhk8e-6Oc5uy1JnUEO3JO6h6/view?usp=sharing,ok
b17-mk,147P2UBrO7Vh6tk3rn4gB6EmRhqkgst7X,https://drive.google.com/file/d/147P2UBrO7Vh6tk3rn4gB6EmRhqkgst7X/view?usp=sharing,ok
b18-mirantes,1ZHWGy6e73Km4DqmSB4Ilu4TOnRWEQaL_,https://drive.google.com/file/d/1ZHWGy6e73Km4DqmSB4Ilu4TOnRWEQaL_/view?usp=sharing,ok
b19-incorporador,1Sj8Pdww-tpqbYXNRZnxq5aRm0m7HAPzF,https://drive.google.com/file/d/1Sj8Pdww-tpqbYXNRZnxq5aRm0m7HAPzF/view?usp=sharing,ok
b20-glf,1YY9ZmZridvXtWWeiCe_YIfLgdymec9MN,https://drive.google.com/file/d/1YY9ZmZridvXtWWeiCe_YIfLgdymec9MN/view?usp=sharing,ok
b22-utilbras-captacao,1z7WeIoyqDREWyG9UPjf2Kzv5l6SRRTRz,https://drive.google.com/file/d/1z7WeIoyqDREWyG9UPjf2Kzv5l6SRRTRz/view?usp=sharing,ok
b23-cleide,1jhHV4yDLFrL9Rxbwu7_iSgVX8DeZ7HVc,https://drive.google.com/file/d/1jhHV4yDLFrL9Rxbwu7_iSgVX8DeZ7HVc/view?usp=sharing,ok
b24-luggo,1zzgKeW9KhGaMgbOgwmpbn7oDjR2DhwdC,https://drive.google.com/file/d/1zzgKeW9KhGaMgbOgwmpbn7oDjR2DhwdC/view?usp=sharing,ok
b25-condom,1AE_W5UhsW8hkm-heneMefaOud9rfaLaw,https://drive.google.com/file/d/1AE_W5UhsW8hkm-heneMefaOud9rfaLaw/view?usp=sharing,ok
b26-adrian,1vggw8atxuxKP569E5BJNURTEG6OInDG4,https://drive.google.com/file/d/1vggw8atxuxKP569E5BJNURTEG6OInDG4/view?usp=sharing,ok
b27-pernambuco-planta-ou-pronto,1m8hlJPf3jQaFGezeAzbrr4MhsbwXvztV,https://drive.google.com/file/d/1m8hlJPf3jQaFGezeAzbrr4MhsbwXvztV/view?usp=sharing,ok
b28-rocha,1Iu69v-eDBkISec3SdAcVxNRVoA_8Hzex,https://drive.google.com/file/d/1Iu69v-eDBkISec3SdAcVxNRVoA_8Hzex/view?usp=sharing,ok
b29-invista,14IMaCeYQC5tjQ3JaQO4ocjNGfgC_ZFYn,https://drive.google.com/file/d/14IMaCeYQC5tjQ3JaQO4ocjNGfgC_ZFYn/view?usp=sharing,ok
b30-corretor,1pqLAOxszVYFLPgbo9U0seB1Dl-Q9jnrC,https://drive.google.com/file/d/1pqLAOxszVYFLPgbo9U0seB1Dl-Q9jnrC/view?usp=sharing,ok
